INFO:simplemc:Using 6 processors of 8 .
Initalizing nu density look up table... Done
Loading  /Users/atalianb/Documents/Doctorado/SimpleMC_barotropic/simplemc/data/Blok_McGaugh_&_Rubin_(2001)/ESO3020120.dat
Free parameters and values currently accepted:
Anfw = -7.465973893943865 +/- 0.01
rs = 1.74 +/- 0.01
INFO:simplemc:
	nlivepoints: 100
	accuracy: 0.01
	nested type: multi

it: 42 | ncall: 153 | eff: 28.105 | logz: -3.9913 | dlogz: 3.2075 | loglstar: -1.5716 | point -7.33731327  0.77795772
it: 43 | ncall: 155 | eff: 28.387 | logz: -3.9212 | dlogz: 3.1258 | loglstar: -1.5708 | point -7.05566223  0.38510565
it: 44 | ncall: 156 | eff: 28.846 | logz: -3.8540 | dlogz: 3.0495 | loglstar: -1.4988 | point -6.89823002  0.27611644
it: 45 | ncall: 160 | eff: 28.750 | logz: -3.7885 | dlogz: 2.9761 | loglstar: -1.4706 | point -7.58737429  4.18554847
it: 46 | ncall: 161 | eff: 29.193 | logz: -3.7233 | dlogz: 2.9047 | loglstar: -1.3594 | point -7.64803178  4.62070546
it: 47 | ncall: 164 | eff: 29.268 | logz: -3.6579 | dlogz: 2.8338 | loglstar: -1.3102 | point -7.54096174  0.86075748
it: 48 | ncall: 165 | eff: 29.697 | logz: -3.5951 | dlogz: 2.7630 | loglstar: -1.2916 | point -7.55951157  0.88449156
it: 49 | ncall: 167 | eff: 29.940 | logz: -3.5350 | dlogz: 2.6950 | loglstar: -1.2586 | point -7.57120414  0.82633229
it: 50 | ncall: 169 | eff: 30.178 | logz: -3.4775 | dlogz: 2.6299 | loglstar: -1.2412 | point -6.91670526  0.20807161
it: 51 | ncall: 170 | eff: 30.588 | logz: -3.4220 | dlogz: 2.5675 | loglstar: -1.1956 | point -7.73266247  2.89457515
it: 52 | ncall: 171 | eff: 30.994 | logz: -3.3686 | dlogz: 2.5072 | loglstar: -1.1890 | point -7.72380941  2.13764617
it: 53 | ncall: 173 | eff: 31.214 | logz: -3.3182 | dlogz: 2.4491 | loglstar: -1.1887 | point -7.70779764  1.65676369
it: 54 | ncall: 174 | eff: 31.609 | logz: -3.2700 | dlogz: 2.3941 | loglstar: -1.1579 | point -7.73781706  1.87823351
it: 55 | ncall: 177 | eff: 31.638 | logz: -3.2234 | dlogz: 2.3414 | loglstar: -1.1434 | point -7.21046841  0.25997132
it: 56 | ncall: 179 | eff: 31.844 | logz: -3.1782 | dlogz: 2.2904 | loglstar: -1.1052 | point -7.78069471  2.04761622
it: 57 | ncall: 180 | eff: 32.222 | logz: -3.1342 | dlogz: 2.2410 | loglstar: -1.0897 | point -7.76741532  1.3935368 
it: 58 | ncall: 181 | eff: 32.597 | logz: -3.0919 | dlogz: 2.1929 | loglstar: -1.0808 | point -7.80093183  2.13607068
it: 59 | ncall: 182 | eff: 32.967 | logz: -3.0514 | dlogz: 2.1467 | loglstar: -1.0714 | point -7.82146254  3.13718107
it: 60 | ncall: 183 | eff: 33.333 | logz: -3.0124 | dlogz: 2.1023 | loglstar: -1.0528 | point -7.83963295  3.83191305
it: 61 | ncall: 184 | eff: 33.696 | logz: -2.9747 | dlogz: 2.0594 | loglstar: -1.0461 | point -7.82393053  1.96559266
it: 62 | ncall: 186 | eff: 33.871 | logz: -2.9369 | dlogz: 2.0179 | loglstar: -0.9563 | point -7.91667662  3.68015282
it: 63 | ncall: 187 | eff: 34.225 | logz: -2.8981 | dlogz: 1.9767 | loglstar: -0.8957 | point -7.96760035  2.88748079
it: 64 | ncall: 190 | eff: 34.211 | logz: -2.8601 | dlogz: 1.9349 | loglstar: -0.8952 | point -7.96717187  2.77586319
it: 65 | ncall: 192 | eff: 34.375 | logz: -2.8237 | dlogz: 1.8939 | loglstar: -0.8910 | point -7.97554365  3.51598042
it: 66 | ncall: 193 | eff: 34.715 | logz: -2.7886 | dlogz: 1.8547 | loglstar: -0.8801 | point -7.34235484  0.18424421
it: 67 | ncall: 194 | eff: 35.052 | logz: -2.7549 | dlogz: 1.8169 | loglstar: -0.8783 | point -7.99006349  4.33359889
it: 68 | ncall: 196 | eff: 35.204 | logz: -2.7225 | dlogz: 1.7804 | loglstar: -0.8779 | point -7.98560142  2.98278629
it: 69 | ncall: 197 | eff: 35.533 | logz: -2.6915 | dlogz: 1.7454 | loglstar: -0.8754 | point -7.97489823  1.87570568
it: 70 | ncall: 198 | eff: 35.859 | logz: -2.6614 | dlogz: 1.7116 | loglstar: -0.8645 | point -7.67859299  0.29230475
it: 71 | ncall: 202 | eff: 35.644 | logz: -2.6321 | dlogz: 1.6790 | loglstar: -0.8436 | point -8.02345864  3.6017586 
