INFO:simplemc:Using 6 processors of 8 .
Initalizing nu density look up table... Done
Loading  /Users/atalianb/Documents/Doctorado/SimpleMC_barotropic/simplemc/data/Blok_McGaugh_&_Rubin_(2001)/ESO3020120.dat
Free parameters and values currently accepted:
Anfw = -7.465973893943865 +/- 0.01
rs = -7.2247537402597635 +/- 0.01
INFO:simplemc:
	nlivepoints: 100
	accuracy: 0.01
	nested type: multi

it: 42 | ncall: 158 | eff: 27.215 | logz: -2.8970 | dlogz: 2.1502 | loglstar: -1.2266 | point -7.70975238 -7.28158985
it: 43 | ncall: 160 | eff: 27.500 | logz: -2.8632 | dlogz: 2.1109 | loglstar: -1.2191 | point -6.34645115 -7.17244373
it: 44 | ncall: 161 | eff: 27.950 | logz: -2.8300 | dlogz: 2.0725 | loglstar: -1.1789 | point -7.74849711 -7.21854039
it: 45 | ncall: 163 | eff: 28.221 | logz: -2.7975 | dlogz: 2.0349 | loglstar: -1.1760 | point -6.24883204 -7.10244512
it: 46 | ncall: 166 | eff: 28.313 | logz: -2.7659 | dlogz: 1.9981 | loglstar: -1.1497 | point -6.28063856 -7.14298899
it: 47 | ncall: 167 | eff: 28.743 | logz: -2.7351 | dlogz: 1.9623 | loglstar: -1.1491 | point -7.76931381 -7.22272094
it: 48 | ncall: 168 | eff: 29.167 | logz: -2.7056 | dlogz: 1.9274 | loglstar: -1.1483 | point -7.77145964 -7.19295802
it: 49 | ncall: 171 | eff: 29.240 | logz: -2.6771 | dlogz: 1.8937 | loglstar: -1.1470 | point -7.76995748 -7.23704505
it: 50 | ncall: 173 | eff: 29.480 | logz: -2.6495 | dlogz: 1.8612 | loglstar: -1.1364 | point -7.77661208 -7.25370748
it: 51 | ncall: 174 | eff: 29.885 | logz: -2.6218 | dlogz: 1.8296 | loglstar: -1.0659 | point -7.83020187 -7.23667731
it: 52 | ncall: 175 | eff: 30.286 | logz: -2.5942 | dlogz: 1.7981 | loglstar: -1.0630 | point -7.83275299 -7.23010291
it: 53 | ncall: 176 | eff: 30.682 | logz: -2.5675 | dlogz: 1.7668 | loglstar: -1.0553 | point -6.21468745 -7.12488068
it: 54 | ncall: 178 | eff: 30.899 | logz: -2.5415 | dlogz: 1.7365 | loglstar: -1.0524 | point -7.84434707 -7.0852338 
it: 55 | ncall: 181 | eff: 30.939 | logz: -2.5163 | dlogz: 1.7070 | loglstar: -1.0433 | point -7.85159198 -7.05425444
it: 56 | ncall: 183 | eff: 31.148 | logz: -2.4919 | dlogz: 1.6783 | loglstar: -1.0404 | point -6.13513562 -7.05721755
it: 57 | ncall: 185 | eff: 31.351 | logz: -2.4677 | dlogz: 1.6504 | loglstar: -1.0046 | point -6.31798395 -7.24461981
it: 58 | ncall: 189 | eff: 31.217 | logz: -2.4438 | dlogz: 1.6230 | loglstar: -0.9895 | point -6.32658174 -7.25994362
it: 59 | ncall: 192 | eff: 31.250 | logz: -2.4205 | dlogz: 1.5959 | loglstar: -0.9890 | point -7.89390945 -7.08170407
it: 60 | ncall: 195 | eff: 31.282 | logz: -2.3978 | dlogz: 1.5695 | loglstar: -0.9739 | point -7.90556785 -7.17289141
it: 61 | ncall: 197 | eff: 31.472 | logz: -2.3754 | dlogz: 1.5437 | loglstar: -0.9516 | point -7.92336464 -7.25689389
it: 62 | ncall: 198 | eff: 31.818 | logz: -2.3533 | dlogz: 1.5183 | loglstar: -0.9386 | point -7.93426721 -7.28800942
it: 63 | ncall: 199 | eff: 32.161 | logz: -2.3316 | dlogz: 1.4934 | loglstar: -0.9252 | point -7.94797209 -7.11669022
it: 64 | ncall: 200 | eff: 32.500 | logz: -2.3103 | dlogz: 1.4690 | loglstar: -0.9096 | point -7.96093574 -7.28495488
it: 65 | ncall: 202 | eff: 32.673 | logz: -2.2894 | dlogz: 1.4450 | loglstar: -0.9030 | point -7.96816966 -7.15651762
it: 66 | ncall: 203 | eff: 33.005 | logz: -2.2690 | dlogz: 1.4215 | loglstar: -0.8966 | point -6.1644074  -7.15619908
it: 67 | ncall: 204 | eff: 33.333 | logz: -2.2492 | dlogz: 1.3986 | loglstar: -0.8966 | point -7.97334392 -7.28124132
it: 68 | ncall: 205 | eff: 33.659 | logz: -2.2298 | dlogz: 1.3762 | loglstar: -0.8871 | point -6.19098871 -7.18637663
it: 69 | ncall: 209 | eff: 33.493 | logz: -2.2107 | dlogz: 1.3544 | loglstar: -0.8706 | point -7.99823129 -7.04163028
it: 70 | ncall: 210 | eff: 33.810 | logz: -2.1920 | dlogz: 1.3329 | loglstar: -0.8647 | point -8.00442129 -7.29862065
it: 71 | ncall: 212 | eff: 33.962 | logz: -2.1737 | dlogz: 1.3119 | loglstar: -0.8591 | point -8.01047809 -7.1812318 
it: 72 | ncall: 213 | eff: 34.272 | logz: -2.1558 | dlogz: 1.2913 | loglstar: -0.8495 | point -8.02004712 -7.29168897
it: 73 | ncall: 216 | eff: 34.259 | logz: -2.1382 | dlogz: 1.2712 | loglstar: -0.8477 | point -8.02209599 -7.19745285
it: 74 | ncall: 218 | eff: 34.404 | logz: -2.1211 | dlogz: 1.2515 | loglstar: -0.8385 | point -6.23432593 -7.25392293
it: 75 | ncall: 222 | eff: 34.234 | logz: -2.1041 | dlogz: 1.2322 | loglstar: -0.8130 | point -8.05895278 -7.21841693
it: 76 | ncall: 224 | eff: 34.375 | logz: -2.0871 | dlogz: 1.2132 | loglstar: -0.7915 | point -8.0832054  -7.22316148
it: 77 | ncall: 229 | eff: 34.061 | logz: -2.0704 | dlogz: 1.1944 | loglstar: -0.7870 | point -8.08635208 -7.05864525
it: 78 | ncall: 230 | eff: 34.348 | logz: -2.0541 | dlogz: 1.1759 | loglstar: -0.7797 | point -6.21899427 -7.2733173 
it: 79 | ncall: 232 | eff: 34.483 | logz: -2.0379 | dlogz: 1.1577 | loglstar: -0.7582 | point -8.12102319 -7.08256633
it: 80 | ncall: 234 | eff: 34.615 | logz: -2.0217 | dlogz: 1.1399 | loglstar: -0.7260 | point -8.16398532 -7.17128086
it: 81 | ncall: 235 | eff: 34.894 | logz: -2.0054 | dlogz: 1.1222 | loglstar: -0.6930 | point -8.20848991 -7.07648686
it: 82 | ncall: 236 | eff: 35.169 | logz: -1.9893 | dlogz: 1.1046 | loglstar: -0.6929 | point -8.21063313 -7.15850211
it: 83 | ncall: 237 | eff: 35.443 | logz: -1.9735 | dlogz: 1.0872 | loglstar: -0.6919 | point -8.21435952 -7.26612293
it: 84 | ncall: 238 | eff: 35.714 | logz: -1.9581 | dlogz: 1.0702 | loglstar: -0.6845 | point -6.011043   -7.13244779
it: 85 | ncall: 240 | eff: 35.833 | logz: -1.9430 | dlogz: 1.0537 | loglstar: -0.6801 | point -8.22968668 -7.14297065
it: 86 | ncall: 241 | eff: 36.100 | logz: -1.9281 | dlogz: 1.0374 | loglstar: -0.6663 | point -8.25448938 -7.26133435
it: 87 | ncall: 242 | eff: 36.364 | logz: -1.9135 | dlogz: 1.0215 | loglstar: -0.6642 | point -6.07999526 -7.21272258
it: 88 | ncall: 244 | eff: 36.475 | logz: -1.8992 | dlogz: 1.0058 | loglstar: -0.6543 | point -6.16376755 -7.300223  
it: 89 | ncall: 245 | eff: 36.735 | logz: -1.8850 | dlogz: 0.9905 | loglstar: -0.6409 | point -8.29349744 -7.10477455
it: 90 | ncall: 247 | eff: 36.842 | logz: -1.8711 | dlogz: 0.9754 | loglstar: -0.6408 | point -8.29309012 -7.08902897
it: 91 | ncall: 250 | eff: 36.800 | logz: -1.8574 | dlogz: 0.9606 | loglstar: -0.6368 | point -8.30103712 -7.10701939
it: 92 | ncall: 254 | eff: 36.614 | logz: -1.8440 | dlogz: 0.9461 | loglstar: -0.6273 | point -8.31969363 -7.13554496
it: 93 | ncall: 257 | eff: 36.576 | logz: -1.8308 | dlogz: 0.9318 | loglstar: -0.6223 | point -8.32718755 -7.08127256
it: 94 | ncall: 264 | eff: 35.985 | logz: -1.8179 | dlogz: 0.9179 | loglstar: -0.6200 | point -9.90561796 -7.14651863
it: 95 | ncall: 266 | eff: 36.090 | logz: -1.8052 | dlogz: 0.9042 | loglstar: -0.6182 | point -8.3413939  -7.24901583
it: 96 | ncall: 267 | eff: 36.330 | logz: -1.7928 | dlogz: 0.8908 | loglstar: -0.6176 | point -8.33858098 -7.13849462
it: 97 | ncall: 268 | eff: 36.567 | logz: -1.7806 | dlogz: 0.8777 | loglstar: -0.6173 | point -8.33715076 -7.08758872
it: 98 | ncall: 273 | eff: 36.264 | logz: -1.7688 | dlogz: 0.8648 | loglstar: -0.6171 | point -9.88160834 -7.12791195
it: 99 | ncall: 274 | eff: 36.496 | logz: -1.7571 | dlogz: 0.8522 | loglstar: -0.6140 | point -9.91105062 -7.13645943
it: 100 | ncall: 277 | eff: 36.462 | logz: -1.7457 | dlogz: 0.8399 | loglstar: -0.6128 | point -9.86823762 -7.07536803
it: 101 | ncall: 279 | eff: 36.559 | logz: -1.7345 | dlogz: 0.8278 | loglstar: -0.6119 | point -9.84754787 -7.21329987
it: 102 | ncall: 281 | eff: 36.655 | logz: -1.7235 | dlogz: 0.8160 | loglstar: -0.6066 | point -9.82082631 -7.23723865
it: 103 | ncall: 283 | eff: 36.749 | logz: -1.7127 | dlogz: 0.8043 | loglstar: -0.5997 | point -9.78611976 -7.23717118
it: 104 | ncall: 287 | eff: 36.585 | logz: -1.7020 | dlogz: 0.7929 | loglstar: -0.5981 | point -9.87375515 -7.05341961
it: 105 | ncall: 290 | eff: 36.552 | logz: -1.6916 | dlogz: 0.7817 | loglstar: -0.5981 | point -8.37742328 -7.10012492
it: 106 | ncall: 293 | eff: 36.519 | logz: -1.6813 | dlogz: 0.7707 | loglstar: -0.5930 | point -8.38948988 -7.11523714
it: 107 | ncall: 294 | eff: 36.735 | logz: -1.6712 | dlogz: 0.7598 | loglstar: -0.5895 | point -9.73383847 -7.0790793 
it: 108 | ncall: 296 | eff: 36.824 | logz: -1.6613 | dlogz: 0.7492 | loglstar: -0.5886 | point -8.39855107 -7.09545544
it: 109 | ncall: 301 | eff: 36.545 | logz: -1.6515 | dlogz: 0.7388 | loglstar: -0.5881 | point -9.72654753 -7.1400884 
it: 110 | ncall: 302 | eff: 36.755 | logz: -1.6420 | dlogz: 0.7286 | loglstar: -0.5862 | point -9.71736315 -7.23602698
it: 111 | ncall: 303 | eff: 36.964 | logz: -1.6326 | dlogz: 0.7185 | loglstar: -0.5837 | point -9.70355794 -7.0637883 
it: 112 | ncall: 304 | eff: 37.171 | logz: -1.6233 | dlogz: 0.7086 | loglstar: -0.5829 | point -9.69970425 -7.11626577
it: 113 | ncall: 306 | eff: 37.255 | logz: -1.6143 | dlogz: 0.6989 | loglstar: -0.5785 | point -9.67695607 -7.14373498
it: 114 | ncall: 310 | eff: 37.097 | logz: -1.6053 | dlogz: 0.6894 | loglstar: -0.5775 | point -9.67202706 -7.20218275
it: 115 | ncall: 311 | eff: 37.299 | logz: -1.5965 | dlogz: 0.6801 | loglstar: -0.5772 | point -9.67110836 -7.23749249
it: 116 | ncall: 319 | eff: 36.677 | logz: -1.5879 | dlogz: 0.6709 | loglstar: -0.5757 | point -9.66166821 -7.06931112
it: 117 | ncall: 324 | eff: 36.420 | logz: -1.5794 | dlogz: 0.6618 | loglstar: -0.5736 | point -9.65248151 -7.2699179 
it: 118 | ncall: 327 | eff: 36.391 | logz: -1.5711 | dlogz: 0.6529 | loglstar: -0.5731 | point -9.64745471 -7.04434697
it: 119 | ncall: 328 | eff: 36.585 | logz: -1.5629 | dlogz: 0.6442 | loglstar: -0.5722 | point -9.643407   -7.12725732
it: 120 | ncall: 330 | eff: 36.667 | logz: -1.5549 | dlogz: 0.6356 | loglstar: -0.5678 | point -8.44824599 -7.06449001
it: 121 | ncall: 333 | eff: 36.637 | logz: -1.5469 | dlogz: 0.6272 | loglstar: -0.5668 | point -9.61583732 -7.21808142
it: 122 | ncall: 334 | eff: 36.826 | logz: -1.5391 | dlogz: 0.6189 | loglstar: -0.5634 | point -6.08170054 -7.28647942
it: 123 | ncall: 339 | eff: 36.578 | logz: -1.5314 | dlogz: 0.6108 | loglstar: -0.5613 | point -9.58733661 -7.29963585
it: 124 | ncall: 340 | eff: 36.765 | logz: -1.5238 | dlogz: 0.6027 | loglstar: -0.5608 | point -9.58124923 -7.05610388
it: 125 | ncall: 342 | eff: 36.842 | logz: -1.5164 | dlogz: 0.5948 | loglstar: -0.5606 | point -9.58239724 -7.22840435
it: 126 | ncall: 343 | eff: 37.026 | logz: -1.5090 | dlogz: 0.5871 | loglstar: -0.5598 | point -9.57823629 -7.24688461
